期权代码,期权名称,最新价,涨跌幅,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta,到期日
10009795,300ETF购9月4800,0.0227,336.54,205.29,55.92,0.2724,1.5397,0.3031,0.0473,-0.9496,2025-09-24
10009759,300ETF购9月4700,0.0466,323.64,100.0,44.01,0.4401,1.8288,0.36,0.076,-1.1346,2025-09-24
10009047,500ETF购9月7250,0.1011,285.88,71.45,34.8,0.487,1.05,0.5641,0.1295,-2.0175,2025-09-24
10009838,科创50购9月1500,0.0194,266.04,71.8,14.8,0.2061,2.4012,0.0778,0.0105,-0.4446,2025-09-24
10009743,500ETF购9月7500,0.035,260.82,206.4,51.39,0.249,0.8351,0.4487,0.0669,-1.5924,2025-09-24
10009982,科创50购9月1650,0.0075,257.14,185.73,4.88,0.0263,0.5135,0.0166,0.0014,-0.0947,2025-09-24
10009819,300ETF购9月4900,0.0125,257.14,372.8,54.65,0.1466,1.0646,0.2096,0.0256,-0.6541,2025-09-24
10009853,科创板50购9月1450,0.0229,252.31,59.43,14.31,0.2407,2.7164,0.083,0.012,-0.4691,2025-09-24
10009981,科创50购9月1600,0.009,246.15,154.78,8.88,0.0574,0.9688,0.0314,0.003,-0.1789,2025-09-24
10009997,科创板50购9月1600,0.0081,237.5,168.02,5.12,0.0305,0.6023,0.0184,0.0015,-0.1036,2025-09-24
10009629,300ETF购9月4600,0.0957,232.29,48.69,30.35,0.6232,1.7607,0.3466,0.1068,-1.1038,2025-09-24
10009837,科创50购9月1450,0.0281,230.59,49.57,16.68,0.3365,3.0741,0.0996,0.017,-0.5704,2025-09-24
10009883,科创板50购9月1550,0.011,223.53,123.73,8.33,0.0673,1.1366,0.0347,0.0034,-0.1957,2025-09-24
10009767,500ETF购9月7750,0.0145,222.22,498.21,48.13,0.0966,0.4505,0.242,0.0261,-0.8556,2025-09-24
10009803,科创板50购9月1400,0.0335,210.19,40.63,15.72,0.3869,3.3399,0.102,0.0191,-0.5783,2025-09-24
10009875,科创50购9月1550,0.0123,207.5,113.25,12.93,0.1142,1.6265,0.0527,0.0059,-0.3007,2025-09-24
10009854,科创板50购9月1500,0.0155,198.08,87.81,11.78,0.1342,1.8867,0.0576,0.0067,-0.3252,2025-09-24
10008903,500ETF购9月7000,0.25,190.36,28.9,21.31,0.7373,0.8588,0.4614,0.1932,-1.6796,2025-09-24
10009827,500ETF购9月8000,0.008,185.71,903.0,25.65,0.0284,0.1711,0.0919,0.0077,-0.3241,2025-09-24
10009867,300ETF购9月5000,0.0077,185.19,605.19,41.4,0.0684,0.6117,0.1204,0.012,-0.3749,2025-09-24
10008929,科创50购9月1400,0.0437,181.94,31.88,15.81,0.4959,3.3603,0.1088,0.0248,-0.6256,2025-09-24
10008923,科创板50购9月1350,0.0513,174.33,26.53,14.79,0.5574,3.4447,0.1052,0.0271,-0.5989,2025-09-24
10009621,50ETF购9月3200,0.0186,165.71,167.85,47.25,0.2815,2.6759,0.2064,0.0329,-0.566,2025-09-24
10010009,500ETF购10月8250,0.0268,162.75,269.55,21.91,0.0813,0.2287,0.3686,0.0648,-0.4371,2025-10-22
10009979,300ETF购10月5000,0.0322,161.79,144.72,29.84,0.2062,0.7632,0.4507,0.1058,-0.4746,2025-10-22
10009986,科创50购10月1650,0.0216,160.24,64.49,9.28,0.1439,1.1026,0.1071,0.0214,-0.2049,2025-10-22
10008911,科创50购9月1350,0.0681,158.94,20.46,13.53,0.6614,3.0815,0.0998,0.0326,-0.577,2025-09-24
10010000,科创板50购10月1600,0.025,157.73,54.44,8.3,0.1524,1.1872,0.1088,0.0222,-0.2057,2025-10-22
10009933,500ETF购10月8000,0.0402,157.69,179.7,26.04,0.1449,0.3463,0.5582,0.115,-0.6639,2025-10-22
10009915,300ETF购10月4900,0.0465,148.66,100.22,28.57,0.2851,0.9089,0.5368,0.1455,-0.5675,2025-10-22
10009985,科创50购10月1600,0.0273,148.18,51.03,10.02,0.1964,1.3466,0.1308,0.0291,-0.2506,2025-10-22
10009999,科创板50购10月1550,0.0306,140.94,44.48,9.31,0.2094,1.4495,0.1328,0.0303,-0.2515,2025-10-22
10009607,300ETF购9月4500,0.1705,140.14,27.33,21.45,0.7849,1.3552,0.2668,0.133,-0.8667,2025-09-24
10008915,科创板50购9月1300,0.0795,134.51,17.12,12.38,0.7233,2.9204,0.0892,0.0346,-0.5117,2025-09-24
10009932,500ETF购10月7750,0.0631,131.99,114.48,27.34,0.2388,0.4714,0.7598,0.1884,-0.9073,2025-10-22
10009787,50ETF购9月3400,0.0055,129.17,567.64,10.67,0.0188,0.3645,0.0281,0.0022,-0.0762,2025-09-24
10009969,科创板50购10月1500,0.0384,128.57,35.44,9.92,0.2798,1.695,0.1553,0.0401,-0.2947,2025-10-22
10010007,500ETF购9月8250,0.0043,126.32,1680.0,10.75,0.0064,0.0472,0.0254,0.0017,-0.0893,2025-09-24
10009914,300ETF购10月4800,0.0658,124.57,70.82,26.78,0.3781,1.0176,0.6009,0.1919,-0.6387,2025-10-22
10009931,500ETF购10月7500,0.105,123.88,68.8,24.99,0.3632,0.5705,0.9196,0.2841,-1.1044,2025-10-22
10009725,50ETF购9月3300,0.0085,123.68,367.29,33.09,0.0901,1.2889,0.0994,0.0106,-0.2708,2025-09-24
10009951,科创50购10月1550,0.0331,122.15,42.08,10.99,0.2612,1.5813,0.1536,0.0384,-0.2947,2025-10-22
10009968,科创板50购10月1450,0.0489,121.27,27.83,10.1,0.3628,1.8895,0.1732,0.0516,-0.3293,2025-10-22
10008893,科创50购9月1300,0.1038,120.85,13.42,10.8,0.8049,2.3233,0.0752,0.0389,-0.4399,2025-09-24
10009950,科创50购10月1500,0.0438,117.91,31.8,10.76,0.3382,1.7783,0.1728,0.0493,-0.3322,2025-10-22
10009811,50ETF购9月3500,0.0037,117.65,843.78,2.19,0.0026,0.0634,0.0049,0.0003,-0.0132,2025-09-24
10009913,300ETF购10月4700,0.1018,115.68,45.78,22.01,0.4809,1.0667,0.6299,0.2425,-0.6741,2025-10-22
10009930,500ETF购10月7250,0.1781,110.27,40.56,20.65,0.509,0.6064,0.9774,0.3937,-1.1842,2025-10-22
10008889,科创板50购9月1250,0.117,107.82,11.63,9.95,0.855,1.9883,0.0607,0.04,-0.3539,2025-09-24
10009949,科创50购10月1450,0.057,107.27,24.44,10.4,0.4255,1.9063,0.1852,0.0614,-0.357,2025-10-22
10009495,50ETF购9月3100,0.0528,105.45,59.13,34.42,0.5822,3.0954,0.2387,0.0673,-0.6647,2025-09-24
10009896,50ETF购10月3400,0.0173,103.53,180.46,22.11,0.1225,0.9289,0.2149,0.0425,-0.1974,2025-10-22
10009967,科创板50购10月1400,0.0614,101.31,22.17,10.11,0.456,1.9974,0.1831,0.0642,-0.3492,2025-10-22
10009468,300ETF沽9月3900,0.0006,100.0,7766.67,0.0,0.0,0.001,0.0002,0.0,-0.0005,2025-09-24
10008821,300ETF沽9月3520A,0.0004,100.0,11650.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10009164,50ETF沽9月2350,0.0004,100.0,7805.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10009948,科创50购10月1400,0.0735,92.91,18.95,9.85,0.5199,1.9378,0.1883,0.0742,-0.3643,2025-10-22
10009966,科创板50购10月1350,0.0797,91.13,17.08,9.48,0.5552,1.9904,0.1824,0.0771,-0.3494,2025-10-22
10009895,50ETF购10月3300,0.0276,90.34,113.12,26.12,0.2309,1.3927,0.3222,0.0797,-0.2977,2025-10-22
10009965,科创板50购10月1300,0.1039,88.57,13.1,8.57,0.6545,1.8569,0.1702,0.0895,-0.328,2025-10-22
10009912,300ETF购10月4600,0.145,88.31,32.14,18.87,0.5872,1.0423,0.6155,0.2937,-0.6651,2025-10-22
10009929,500ETF购10月7000,0.2984,87.67,24.21,15.94,0.6583,0.5581,0.8996,0.5021,-1.1057,2025-10-22
10008887,500ETF购9月6750,0.4665,84.39,15.49,14.06,0.9077,0.4357,0.2341,0.2326,-0.8975,2025-09-24
10008855,科创50购9月1250,0.1457,82.81,9.56,8.67,0.9065,1.4073,0.0456,0.0427,-0.2729,2025-09-24
10009947,科创50购10月1350,0.0949,82.5,14.68,9.05,0.6165,1.8569,0.1804,0.0867,-0.3508,2025-10-22
10009897,50ETF购10月3500,0.012,81.82,260.17,14.93,0.0574,0.5267,0.1219,0.02,-0.1114,2025-10-22
10009501,300ETF购9月4400,0.2658,81.68,17.53,15.76,0.8987,0.8213,0.1617,0.1502,-0.5487,2025-09-24
10008907,300ETF购9月4401A,0.2616,78.81,17.81,15.99,0.8978,0.8264,0.1627,0.1501,-0.5518,2025-09-24
10009894,50ETF购10月3200,0.0495,76.16,63.07,24.19,0.3835,1.7476,0.4043,0.1313,-0.3772,2025-10-22
10009829,500ETF购12月8000,0.1032,76.11,70.0,18.94,0.2706,0.3183,1.2827,0.5163,-0.6216,2025-12-24
10008873,科创板50购9月1200,0.1624,75.57,8.38,7.87,0.9386,1.0584,0.0323,0.0427,-0.1956,2025-09-24
10009911,300ETF购10月4500,0.2077,71.65,22.44,15.47,0.6895,0.945,0.558,0.3416,-0.6115,2025-10-22
10009946,科创50购10月1300,0.1231,70.97,11.32,8.03,0.7095,1.666,0.1619,0.0981,-0.317,2025-10-22
10009964,科创板50购10月1250,0.1346,70.38,10.11,7.56,0.7474,1.6094,0.1475,0.1003,-0.2868,2025-10-22
10010011,500ETF购12月8250,0.0748,70.0,96.58,19.78,0.2048,0.273,1.1002,0.3934,-0.5309,2025-12-24
10009467,300ETF沽9月3800,0.0005,66.67,9320.0,0.0,0.0,0.0001,0.0,0.0,0.0,2025-09-24
10009928,500ETF购10月6750,0.4702,65.51,15.36,12.14,0.7903,0.4379,0.7057,0.5918,-0.8897,2025-10-22
10009769,500ETF购12月7750,0.1417,64.77,50.98,17.75,0.3482,0.3555,1.4324,0.6587,-0.6978,2025-12-24
10009745,500ETF购12月7500,0.1965,62.8,36.76,16.01,0.4354,0.3786,1.5255,0.816,-0.7484,2025-12-24
10009813,50ETF购12月3500,0.0413,62.6,75.59,13.05,0.1726,0.7398,0.4279,0.1463,-0.1599,2025-12-24
10009470,300ETF沽9月4100,0.0013,62.5,3584.62,8.96,-0.0025,0.0367,0.0072,-0.0004,-0.022,2025-09-24
10009963,科创板50购10月1200,0.174,61.26,7.82,6.48,0.828,1.2843,0.1177,0.1087,-0.2321,2025-10-22
10009945,科创50购10月1250,0.1586,60.69,8.78,6.97,0.7932,1.3888,0.1349,0.1075,-0.2672,2025-10-22
10009869,300ETF购12月5000,0.0875,60.26,53.26,17.14,0.3218,0.6068,0.8959,0.398,-0.3858,2025-12-24
10009990,科创50购12月1650,0.0491,59.42,28.37,7.85,0.2767,1.0294,0.25,0.0966,-0.1934,2025-12-24
10009989,科创50购12月1600,0.0569,58.5,24.48,7.89,0.3224,1.1034,0.268,0.1118,-0.2077,2025-12-24
10010003,科创板50购12月1600,0.0515,57.98,26.43,7.51,0.2843,1.0804,0.2476,0.0971,-0.1893,2025-12-24
10009615,500ETF购12月7250,0.2747,57.78,26.3,13.91,0.5291,0.3826,1.5416,0.9801,-0.7633,2025-12-24
10008854,科创50购9月1200,0.1935,57.06,7.2,6.94,0.9639,0.6669,0.0216,0.044,-0.1373,2025-09-24
10009858,科创板50购12月1500,0.0689,56.59,19.75,7.62,0.3858,1.2186,0.2792,0.1295,-0.2144,2025-12-24
10009039,50ETF购9月3000,0.1296,56.14,24.09,20.38,0.8459,1.8816,0.1451,0.0962,-0.4227,2025-09-24
10009910,300ETF购10月4400,0.2838,55.17,16.42,12.82,0.7808,0.791,0.4671,0.3824,-0.5227,2025-10-22
10009821,300ETF购12月4900,0.1098,54.87,42.44,16.16,0.3808,0.645,0.9523,0.4684,-0.4122,2025-12-24
10009842,科创50购12月1500,0.0774,54.8,18.0,7.68,0.4268,1.2064,0.293,0.1453,-0.2281,2025-12-24
10009877,科创50购12月1550,0.0662,54.67,21.04,7.84,0.3726,1.164,0.2827,0.1281,-0.2195,2025-12-24
10009857,科创板50购12月1450,0.08,54.44,17.01,7.54,0.4431,1.258,0.2882,0.1472,-0.222,2025-12-24
10009885,科创板50购12月1550,0.0577,52.65,23.59,7.85,0.3327,1.1576,0.2652,0.1127,-0.2032,2025-12-24
10008891,300ETF购9月4303A,0.3586,52.47,12.99,12.48,0.9604,0.3959,0.0779,0.1578,-0.2933,2025-09-24
10009507,500ETF购12月7000,0.3791,51.88,19.06,11.9,0.6243,0.3648,1.4701,1.1407,-0.7372,2025-12-24
10009893,50ETF购10月3100,0.0875,51.65,35.68,20.07,0.5625,1.8036,0.4173,0.1905,-0.3954,2025-10-22
10009841,科创50购12月1450,0.0908,51.59,15.34,7.43,0.4844,1.2262,0.2978,0.1632,-0.2325,2025-12-24
10009944,科创50购10月1200,0.2014,51.31,6.92,5.97,0.8631,1.0662,0.1036,0.1142,-0.2086,2025-10-22
10009797,300ETF购12月4800,0.1398,51.3,33.33,14.8,0.4441,0.6687,0.9873,0.5428,-0.4299,2025-12-24
10008872,科创板50购9月1150,0.2116,51.14,6.43,6.3,0.9797,0.4271,0.013,0.043,-0.0876,2025-09-24
10009463,300ETF购9月4300,0.3609,51.07,12.91,12.42,0.9617,0.3855,0.0759,0.1579,-0.2871,2025-09-24
10009466,300ETF沽9月3700,0.0003,50.0,15533.33,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10008823,300ETF沽9月3716A,0.0003,50.0,15533.33,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10009465,300ETF沽9月3600,0.0003,50.0,15533.33,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10009789,50ETF购12月3400,0.0531,50.0,58.79,14.56,0.2477,0.9153,0.5294,0.2086,-0.1991,2025-12-24
10008820,300ETF沽9月3423A,0.0003,50.0,15533.33,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-24
10009781,科创50购12月1400,0.1068,48.95,13.04,7.1,0.5443,1.2195,0.2962,0.1811,-0.2321,2025-12-24
10009805,科创板50购12月1400,0.0928,48.48,14.67,7.39,0.5036,1.2709,0.2912,0.1654,-0.225,2025-12-24
10009727,50ETF购12月3300,0.0738,47.6,42.3,14.39,0.3401,1.0609,0.6136,0.2843,-0.2327,2025-12-24
10009962,科创板50购10月1150,0.2165,47.28,6.29,5.61,0.8922,0.9338,0.0856,0.114,-0.1727,2025-10-22
10009771,500ETF购3月7750,0.2178,46.47,33.17,13.65,0.4115,0.2738,2.0598,1.3933,-0.5483,2026-03-25
10009751,科创50购12月1350,0.1275,46.22,10.93,6.61,0.6053,1.1841,0.2876,0.1986,-0.2264,2025-12-24
10009761,300ETF购12月4700,0.175,45.95,26.63,13.58,0.5101,0.6752,0.9968,0.6191,-0.4373,2025-12-24
10009261,500ETF购12月6750,0.5141,45.39,14.05,10.05,0.7154,0.3262,1.3145,1.2859,-0.6711,2025-12-24
10009747,500ETF购3月7500,0.2751,44.87,26.26,12.53,0.4773,0.2803,2.1085,1.5995,-0.5655,2026-03-25
10009775,科创板50购12月1350,0.1097,44.72,12.41,7.02,0.5662,1.2535,0.2872,0.1836,-0.2228,2025-12-24
10009887,科创板50购3月1550,0.091,44.67,14.96,6.1,0.4079,0.9054,0.3872,0.2412,-0.1608,2026-03-25
10009737,科创板50购12月1300,0.1306,44.31,10.42,6.56,0.6294,1.2035,0.2758,0.2011,-0.2151,2025-12-24
10009909,300ETF购10月4300,0.3716,44.03,12.54,10.73,0.8558,0.6078,0.359,0.4134,-0.4151,2025-10-22
10009677,500ETF购3月7250,0.3498,42.83,20.65,11.28,0.546,0.2789,2.0978,1.808,-0.5679,2026-03-25
10009309,科创50购12月1300,0.1511,42.55,9.22,6.14,0.6659,1.1193,0.2719,0.2151,-0.2152,2025-12-24
10010013,500ETF购3月8250,0.1369,42.16,52.77,15.52,0.2941,0.2425,1.8239,1.0128,-0.4802,2026-03-25
10008853,科创50购9月1150,0.243,42.11,5.73,5.67,0.9892,0.2398,0.0078,0.0435,-0.0587,2025-09-24
10009831,500ETF购3月8000,0.168,41.77,43.0,15.05,0.3501,0.2607,1.961,1.1962,-0.5189,2026-03-25
10009631,300ETF购12月4600,0.2195,41.61,21.23,12.26,0.5773,0.6627,0.9783,0.6951,-0.4331,2025-12-24
10009943,科创50购10月1150,0.2432,41.56,5.73,5.25,0.9166,0.746,0.0725,0.1178,-0.1502,2025-10-22
10008837,500ETF购9月6500,0.712,41.55,10.15,9.94,0.9796,0.1299,0.0698,0.2434,-0.3264,2025-09-24
10010005,科创板50购3月1600,0.08,41.34,17.01,6.28,0.3693,0.8799,0.3763,0.2203,-0.1559,2026-03-25
10009861,科创板50购3月1450,0.1151,40.37,11.82,5.81,0.4915,0.9301,0.3978,0.2847,-0.166,2026-03-25
10009297,科创板50购12月1250,0.1549,40.18,8.79,6.08,0.6916,1.1214,0.2569,0.2172,-0.2017,2025-12-24
10008905,50ETF购9月2950,0.1779,39.53,17.55,16.22,0.9244,1.1294,0.0871,0.1039,-0.2693,2025-09-24
10009777,科创板50购3月1350,0.1479,39.13,9.2,5.35,0.5814,0.9109,0.3896,0.3285,-0.1638,2026-03-25
10009676,500ETF购3月7000,0.4397,39.1,16.43,10.11,0.6156,0.2689,2.0226,2.011,-0.554,2026-03-25
10009279,科创50购12月1250,0.1787,38.53,7.8,5.65,0.7247,1.0269,0.2494,0.2299,-0.1989,2025-12-24
10009783,科创50购3月1400,0.1455,38.18,9.57,5.42,0.5658,0.8859,0.4017,0.3278,-0.1706,2026-03-25
10009609,300ETF购12月4500,0.274,38.17,17.01,10.95,0.6437,0.6311,0.9317,0.768,-0.4172,2025-12-24
10009296,科创板50购12月1200,0.1846,37.76,7.37,5.54,0.7509,1.0104,0.2315,0.2313,-0.1834,2025-12-24
10009994,科创50购3月1650,0.079,37.15,17.63,6.41,0.3633,0.8449,0.3831,0.2216,-0.1605,2026-03-25
10009871,300ETF购3月5000,0.1427,37.08,32.66,12.73,0.3898,0.4754,1.31,0.8673,-0.3091,2026-03-25
10009823,300ETF购3月4900,0.1713,37.04,27.2,11.84,0.4352,0.4878,1.3443,0.9624,-0.319,2026-03-25
10009892,50ETF购10月3000,0.153,36.85,20.41,14.98,0.7343,1.5012,0.3473,0.245,-0.3389,2025-10-22
10009961,科创板50购10月1100,0.2596,36.63,5.24,4.92,0.9386,0.6113,0.056,0.1161,-0.1177,2025-10-22
10009845,科创50购3月1450,0.1276,36.47,10.92,5.7,0.5221,0.8968,0.4066,0.3063,-0.172,2026-03-25
10009278,科创50购12月1200,0.2117,36.32,6.58,5.13,0.7799,0.9111,0.2213,0.2424,-0.1782,2025-12-24
10009675,500ETF购3月6750,0.5546,36.27,13.03,8.91,0.684,0.2504,1.8832,2.1996,-0.5237,2026-03-25
10009462,300ETF购9月4200,0.4602,36.15,10.13,10.01,0.9887,0.1377,0.0271,0.159,-0.1372,2025-09-24
10008871,科创板50购9月1100,0.2583,35.95,5.27,5.24,0.995,0.126,0.0038,0.0419,-0.0357,2025-09-24
10008819,300ETF购9月4205A,0.4526,35.92,10.3,10.17,0.9879,0.1459,0.0287,0.159,-0.1422,2025-09-24
10009753,科创50购3月1350,0.1646,35.92,8.46,5.16,0.6101,0.8637,0.3916,0.3487,-0.167,2026-03-25
10009739,科创板50购3月1300,0.1642,35.48,8.29,5.2,0.6275,0.8824,0.3774,0.3494,-0.1594,2026-03-25
10009927,500ETF购10月6500,0.6809,35.37,10.61,9.43,0.8891,0.2875,0.4634,0.6504,-0.6138,2025-10-22
10009879,科创50购3月1550,0.1005,35.26,13.86,6.08,0.439,0.8876,0.4025,0.2631,-0.1693,2026-03-25
10009799,300ETF购3月4800,0.2042,35.14,22.82,11.01,0.4824,0.4939,1.361,1.0597,-0.325,2026-03-25
10009623,50ETF购12月3200,0.104,35.06,30.02,13.41,0.4467,1.1446,0.6621,0.3699,-0.254,2025-12-24
10009862,科创板50购3月1500,0.0994,35.05,13.69,6.14,0.4487,0.9226,0.3946,0.2628,-0.1642,2026-03-25
10009807,科创板50购3月1400,0.1276,35.03,10.67,5.72,0.5359,0.9265,0.3963,0.3068,-0.166,2026-03-25
